year,month,spei_1month,spei_4month,spei_12month
1901,1,0.8103,NaN,NaN
1901,2,0.7192,NaN,NaN
1901,3,-0.61128,NaN,NaN
1901,4,-0.68555,0.31543,NaN
1901,5,-0.27147,-0.3468,NaN
1901,6,-1.8135,-1.9516,NaN
1901,7,-0.77504,-1.7375,NaN
1901,8,0.36075,-1.1555,NaN
1901,9,-1.0673,-1.3802,NaN
1901,10,-0.29771,-0.91958,NaN
1901,11,0.16442,-0.55999,NaN
1901,12,-0.55534,-1.1163,-1.2028
1902,1,-0.49332,-0.83964,-1.4415
1902,2,0.020618,-0.42143,-1.7398
1902,3,0.55291,-0.25086,-1.5658
1902,4,1.0005,0.34135,-1.3889
1902,5,-0.23182,0.25495,-1.3962
1902,6,-1.1539,-0.8519,-1.2826
1902,7,-0.17682,-0.75869,-1.1958
1902,8,-0.97335,-1.3763,-1.7557
1902,9,0.88185,-0.68571,-0.99584
1902,10,0.037329,-0.16882,-0.74639
1902,11,0.57019,-0.21061,-0.84097
1902,12,1.0375,0.67916,-0.60085
1903,1,-0.39425,0.015475,-0.52965
1903,2,-0.23476,0.085669,-0.5338
1903,3,-0.24787,0.054699,-0.52913
1903,4,-0.83306,-1.0605,-0.77072
1903,5,0.098922,-0.6613,-0.67459
1903,6,-0.89572,-1.1258,-0.58154
1903,7,0.26765,-0.4853,-0.55849
1903,8,0.89971,0.12898,0.084552
1903,9,0.9404,0.39653,0.029811
1903,10,1.1799,1.1072,0.51425
1903,11,0.90906,1.3665,0.64187
1903,12,0.6301,1.3583,0.56012
1904,1,0.074193,1.3472,0.57166
1904,2,-1.0659,-0.14643,0.52992
1904,3,0.93111,0.23276,0.61575
1904,4,0.24926,0.12296,0.76983
1904,5,0.95358,0.71023,0.87924
1904,6,-0.28466,0.67503,1.1192
1904,7,-0.33898,-0.0061831,0.98657
1904,8,-1.1836,-0.64447,0.41252
1904,9,-1.147,-1.1973,-0.14544
1904,10,0.17305,-1.059,-0.561
1904,11,0.091482,-1.3022,-0.90465
1904,12,0.1024,-0.92023,-0.94902
1905,1,-0.015338,-0.078255,-0.87947
1905,2,0.26473,-0.18203,-0.75625
1905,3,1.053,0.61811,-0.69126
1905,4,1.0352,0.90576,-0.67335
1905,5,0.46631,0.95738,-0.80295
1905,6,-2.0187,-0.8521,-1.3457
1905,7,-0.74059,-1.3979,-1.5907
